[CONFIG] ID=02dda9330abb4fea82cb7b1cdbd66cc8 config={'num_layers': 20, 'eval_batch_size': 500, 'sync': False, 'num_inter_threads': 0, 'data_format': None, 'train_batch_size': 32, 'momentum': 0.48030000000000006, 'weight_decay': 0.00011860000000000001, 'batch_norm_decay': 0.8829830000000001, 'batch_norm_epsilon': 0.0007228, 'learning_rate': 0.0402, 'optimizer': 'momentum'}
[CONFIG] ID=df151322d62e494fa6824553c7d66c04 config={'num_layers': 20, 'eval_batch_size': 500, 'sync': False, 'num_inter_threads': 0, 'data_format': None, 'train_batch_size': 128, 'momentum': 0.47700000000000004, 'weight_decay': 0.00018, 'batch_norm_decay': 0.805373, 'batch_norm_epsilon': 0.0006733, 'learning_rate': 0.0658, 'optimizer': 'adam'}
[CONFIG] ID=ffd058627caa44d3abdfba4fd366e766 config={'num_layers': 20, 'eval_batch_size': 500, 'sync': False, 'num_inter_threads': 0, 'data_format': None, 'train_batch_size': 256, 'momentum': 0.6827000000000001, 'weight_decay': 0.0001586, 'batch_norm_decay': 0.8823860000000001, 'batch_norm_epsilon': 5.8509999999999994e-05, 'learning_rate': 0.07629999999999999, 'optimizer': 'rmsprop'}
[RESULT] ID=870bb95b074a4a60b222ffcf4b2f3082 iter=6 result={'accuracy': 0.6834, 'loss': 1.1232886, 'global_step': 1225}
[RESULT] ID=df151322d62e494fa6824553c7d66c04 iter=6 result={'accuracy': 0.4095, 'loss': 2.0629795, 'global_step': 2457}
[RESULT] ID=ffd058627caa44d3abdfba4fd366e766 iter=6 result={'accuracy': 0.2924, 'loss': 1.9441781, 'global_step': 1225}
[RESULT] ID=42a9d8c353214587a12cdf53d9fa4a9c iter=7 result={'accuracy': 0.6853, 'loss': 0.9923406, 'global_step': 696}
[RESULT] ID=02dda9330abb4fea82cb7b1cdbd66cc8 iter=6 result={'accuracy': 0.8023, 'loss': 0.68096244, 'global_step': 9842}
[RESULT] ID=870bb95b074a4a60b222ffcf4b2f3082 iter=7 result={'accuracy': 0.7424, 'loss': 0.88607275, 'global_step': 1400}
[RESULT] ID=b0759547ee8246a1a220b56d216750b6 iter=6 result={'accuracy': 0.7393, 'loss': 1.0039248, 'global_step': 9842}
[RESULT] ID=df151322d62e494fa6824553c7d66c04 iter=7 result={'accuracy': 0.3846, 'loss': 2.4167292, 'global_step': 2808}
[RESULT] ID=ffd058627caa44d3abdfba4fd366e766 iter=7 result={'accuracy': 0.3469, 'loss': 1.8421013, 'global_step': 1400}
[RESULT] ID=42a9d8c353214587a12cdf53d9fa4a9c iter=8 result={'accuracy': 0.6442, 'loss': 1.1555189, 'global_step': 783}
[RESULT] ID=02dda9330abb4fea82cb7b1cdbd66cc8 iter=7 result={'accuracy': 0.8078, 'loss': 0.6473452, 'global_step': 11248}
[RESULT] ID=870bb95b074a4a60b222ffcf4b2f3082 iter=8 result={'accuracy': 0.7428, 'loss': 0.88333523, 'global_step': 1575}
[RESULT] ID=df151322d62e494fa6824553c7d66c04 iter=8 result={'accuracy': 0.4554, 'loss': 1.90768, 'global_step': 3159}
[RESULT] ID=ffd058627caa44d3abdfba4fd366e766 iter=8 result={'accuracy': 0.3308, 'loss': 1.8950614, 'global_step': 1575}
[RESULT] ID=b0759547ee8246a1a220b56d216750b6 iter=7 result={'accuracy': 0.7718, 'loss': 0.885296, 'global_step': 11248}
[RESULT] ID=42a9d8c353214587a12cdf53d9fa4a9c iter=9 result={'accuracy': 0.693, 'loss': 0.9646429, 'global_step': 870}
[RESULT] ID=870bb95b074a4a60b222ffcf4b2f3082 iter=9 result={'accuracy': 0.7256, 'loss': 0.98368436, 'global_step': 1750}
[RESULT] ID=02dda9330abb4fea82cb7b1cdbd66cc8 iter=8 result={'accuracy': 0.7962, 'loss': 0.7224929, 'global_step': 12654}
[RESULT] ID=df151322d62e494fa6824553c7d66c04 iter=9 result={'accuracy': 0.4443, 'loss': 1.9402299, 'global_step': 3510}
[RESULT] ID=ffd058627caa44d3abdfba4fd366e766 iter=9 result={'accuracy': 0.2363, 'loss': 3.250785, 'global_step': 1750}
[RESULT] ID=42a9d8c353214587a12cdf53d9fa4a9c iter=10 result={'accuracy': 0.7154, 'loss': 0.9242101, 'global_step': 957}
[RESULT] ID=b0759547ee8246a1a220b56d216750b6 iter=8 result={'accuracy': 0.7589, 'loss': 0.97444403, 'global_step': 12654}
[RESULT] ID=870bb95b074a4a60b222ffcf4b2f3082 iter=10 result={'accuracy': 0.7958, 'loss': 0.723755, 'global_step': 1925}
[RESULT] ID=02dda9330abb4fea82cb7b1cdbd66cc8 iter=9 result={'accuracy': 0.832, 'loss': 0.5920141, 'global_step': 14060}
[RESULT] ID=df151322d62e494fa6824553c7d66c04 iter=10 result={'accuracy': 0.2671, 'loss': 2.8882983, 'global_step': 3861}
[RESULT] ID=ffd058627caa44d3abdfba4fd366e766 iter=10 result={'accuracy': 0.3225, 'loss': 2.1768372, 'global_step': 1925}
[RESULT] ID=42a9d8c353214587a12cdf53d9fa4a9c iter=11 result={'accuracy': 0.686, 'loss': 1.0112743, 'global_step': 1044}
[RESULT] ID=b0759547ee8246a1a220b56d216750b6 iter=9 result={'accuracy': 0.7834, 'loss': 0.8206822, 'global_step': 14060}
[RESULT] ID=870bb95b074a4a60b222ffcf4b2f3082 iter=11 result={'accuracy': 0.7479, 'loss': 0.9142257, 'global_step': 2100}
[RESULT] ID=ffd058627caa44d3abdfba4fd366e766 iter=11 result={'accuracy': 0.3505, 'loss': 1.8609579, 'global_step': 2100}
[RESULT] ID=df151322d62e494fa6824553c7d66c04 iter=11 result={'accuracy': 0.4727, 'loss': 1.7504625, 'global_step': 4212}
[RESULT] ID=02dda9330abb4fea82cb7b1cdbd66cc8 iter=10 result={'accuracy': 0.8267, 'loss': 0.63638455, 'global_step': 15466}
[RESULT] ID=42a9d8c353214587a12cdf53d9fa4a9c iter=12 result={'accuracy': 0.7313, 'loss': 0.8869439, 'global_step': 1131}
[RESULT] ID=b0759547ee8246a1a220b56d216750b6 iter=10 result={'accuracy': 0.8098, 'loss': 0.7841464, 'global_step': 15466}
[RESULT] ID=870bb95b074a4a60b222ffcf4b2f3082 iter=12 result={'accuracy': 0.7924, 'loss': 0.7522371, 'global_step': 2275}
[RESULT] ID=ffd058627caa44d3abdfba4fd366e766 iter=12 result={'accuracy': 0.2759, 'loss': 2.6333752, 'global_step': 2275}
[RESULT] ID=df151322d62e494fa6824553c7d66c04 iter=12 result={'accuracy': 0.3914, 'loss': 2.0855045, 'global_step': 4563}
[RESULT] ID=42a9d8c353214587a12cdf53d9fa4a9c iter=13 result={'accuracy': 0.7256, 'loss': 0.927726, 'global_step': 1218}
[RESULT] ID=02dda9330abb4fea82cb7b1cdbd66cc8 iter=11 result={'accuracy': 0.813, 'loss': 0.6669099, 'global_step': 16872}
[RESULT] ID=b0759547ee8246a1a220b56d216750b6 iter=11 result={'accuracy': 0.7954, 'loss': 0.8241251, 'global_step': 16872}
[RESULT] ID=870bb95b074a4a60b222ffcf4b2f3082 iter=13 result={'accuracy': 0.7883, 'loss': 0.7676663, 'global_step': 2450}
[RESULT] ID=ffd058627caa44d3abdfba4fd366e766 iter=13 result={'accuracy': 0.2452, 'loss': 2.8596416, 'global_step': 2450}
[RESULT] ID=42a9d8c353214587a12cdf53d9fa4a9c iter=14 result={'accuracy': 0.7455, 'loss': 0.83383995, 'global_step': 1305}
[RESULT] ID=df151322d62e494fa6824553c7d66c04 iter=13 result={'accuracy': 0.4234, 'loss': 1.8324752, 'global_step': 4914}
