[ TIME ] start=2019-11-01 09:02:54.223138
[CONFIG] ID=68d3a1ee00d242ff89c9bba2658e5fd0 config={'num_layers': 20, 'eval_batch_size': 500, 'sync': False, 'num_inter_threads': 0, 'data_format': None, 'train_batch_size': 256, 'momentum': 0.77675, 'weight_decay': 0.0001878, 'batch_norm_decay': 0.8686550000000001, 'batch_norm_epsilon': 0.00040204000000000005, 'learning_rate': 0.05190000000000001, 'optimizer': 'adam'}
[RESULT] ID=a2d5dc11909c4ff2a3c7b06bbad33eb7 iter=8 result={'accuracy': 0.6416, 'loss': 1.1738151, 'global_step': 387}
[RESULT] ID=47b391a492be4bdab71d814e31618b12 iter=7 result={'accuracy': 0.376, 'loss': 1.9034965, 'global_step': 11248}
[RESULT] ID=01ebf3f3679c488bb5d074d24d8ad123 iter=7 result={'accuracy': 0.5264, 'loss': 1.4329842, 'global_step': 11248}
[RESULT] ID=8cb059c31ba741f496552771533a5711 iter=9 result={'accuracy': 0.6228, 'loss': 1.171415, 'global_step': 870}
[RESULT] ID=68d3a1ee00d242ff89c9bba2658e5fd0 iter=9 result={'accuracy': 0.5162, 'loss': 1.8152795, 'global_step': 1750}
[RESULT] ID=cb22875e4ff245dfada45d71dff559a0 iter=9 result={'accuracy': 0.5681, 'loss': 1.7077466, 'global_step': 870}
[RESULT] ID=a2d5dc11909c4ff2a3c7b06bbad33eb7 iter=9 result={'accuracy': 0.5962, 'loss': 1.7251812, 'global_step': 430}
[RESULT] ID=47b391a492be4bdab71d814e31618b12 iter=8 result={'accuracy': 0.3068, 'loss': 2.3500533, 'global_step': 12654}
[RESULT] ID=01ebf3f3679c488bb5d074d24d8ad123 iter=8 result={'accuracy': 0.5324, 'loss': 1.4072654, 'global_step': 12654}
[RESULT] ID=8cb059c31ba741f496552771533a5711 iter=10 result={'accuracy': 0.6309, 'loss': 1.2143596, 'global_step': 957}
[RESULT] ID=68d3a1ee00d242ff89c9bba2658e5fd0 iter=10 result={'accuracy': 0.4637, 'loss': 2.245375, 'global_step': 1925}
[RESULT] ID=cb22875e4ff245dfada45d71dff559a0 iter=10 result={'accuracy': 0.7288, 'loss': 0.8951004, 'global_step': 957}
[RESULT] ID=a2d5dc11909c4ff2a3c7b06bbad33eb7 iter=10 result={'accuracy': 0.6265, 'loss': 1.3960176, 'global_step': 473}
[RESULT] ID=47b391a492be4bdab71d814e31618b12 iter=9 result={'accuracy': 0.4058, 'loss': 1.8309956, 'global_step': 14060}
[RESULT] ID=01ebf3f3679c488bb5d074d24d8ad123 iter=9 result={'accuracy': 0.549, 'loss': 1.3561133, 'global_step': 14060}
[RESULT] ID=8cb059c31ba741f496552771533a5711 iter=11 result={'accuracy': 0.6863, 'loss': 0.99110353, 'global_step': 1044}
[RESULT] ID=68d3a1ee00d242ff89c9bba2658e5fd0 iter=11 result={'accuracy': 0.254, 'loss': 4.4116592, 'global_step': 2100}
[RESULT] ID=cb22875e4ff245dfada45d71dff559a0 iter=11 result={'accuracy': 0.7451, 'loss': 0.8701454, 'global_step': 1044}
[RESULT] ID=a2d5dc11909c4ff2a3c7b06bbad33eb7 iter=11 result={'accuracy': 0.6273, 'loss': 1.32205, 'global_step': 516}
[RESULT] ID=47b391a492be4bdab71d814e31618b12 iter=10 result={'accuracy': 0.5127, 'loss': 1.4788221, 'global_step': 15466}
[RESULT] ID=8cb059c31ba741f496552771533a5711 iter=12 result={'accuracy': 0.6909, 'loss': 0.99256516, 'global_step': 1131}
[RESULT] ID=01ebf3f3679c488bb5d074d24d8ad123 iter=10 result={'accuracy': 0.5528, 'loss': 1.3461609, 'global_step': 15466}
[RESULT] ID=68d3a1ee00d242ff89c9bba2658e5fd0 iter=12 result={'accuracy': 0.5388, 'loss': 1.8648844, 'global_step': 2275}
[RESULT] ID=cb22875e4ff245dfada45d71dff559a0 iter=12 result={'accuracy': 0.6598, 'loss': 1.1674765, 'global_step': 1131}
[RESULT] ID=a2d5dc11909c4ff2a3c7b06bbad33eb7 iter=12 result={'accuracy': 0.6078, 'loss': 1.6628755, 'global_step': 559}
[RESULT] ID=8cb059c31ba741f496552771533a5711 iter=13 result={'accuracy': 0.7186, 'loss': 0.8801568, 'global_step': 1218}
[RESULT] ID=47b391a492be4bdab71d814e31618b12 iter=11 result={'accuracy': 0.4385, 'loss': 1.7601545, 'global_step': 16872}
[RESULT] ID=01ebf3f3679c488bb5d074d24d8ad123 iter=11 result={'accuracy': 0.57, 'loss': 1.3103167, 'global_step': 16872}
